,speech_number,type,position,sentiment_blob
9,136,Typical Speech,9,-0.015032467532467519
0,137,Typical Speech,0,0.38571428571428573
1,137,Typical Speech,1,0.2
2,137,Typical Speech,2,0.20592885375494066
3,137,Typical Speech,3,-0.02372252747252749
4,137,Typical Speech,4,0.06666666666666668
5,137,Typical Speech,5,0.017897727272727273
6,137,Typical Speech,6,0.0
7,137,Typical Speech,7,0.34
8,137,Typical Speech,8,0.26956709956709957
9,137,Typical Speech,9,0.09220779220779221
0,138,Typical Speech,0,0.0
1,138,Typical Speech,1,0.0
2,138,Typical Speech,2,-0.1625
3,138,Typical Speech,3,0.06704545454545455
4,138,Typical Speech,4,0.1875
5,138,Typical Speech,5,0.11041666666666666
6,138,Typical Speech,6,-0.006249999999999999
7,138,Typical Speech,7,0.08333333333333334
8,138,Typical Speech,8,0.3666666666666667
9,138,Typical Speech,9,0.15833333333333335
0,139,Typical Speech,0,0.0
1,139,Typical Speech,1,0.0
2,139,Typical Speech,2,0.0
3,139,Typical Speech,3,0.0
4,139,Typical Speech,4,0.0
5,139,Typical Speech,5,0.0
6,139,Typical Speech,6,0.0
7,139,Typical Speech,7,0.0
8,139,Typical Speech,8,0.0
9,139,Typical Speech,9,0.17250000000000001
0,140,Typical Speech,0,0.30000000000000004
1,140,Typical Speech,1,0.33140748140748133
2,140,Typical Speech,2,0.2694444444444445
3,140,Typical Speech,3,0.313235294117647
4,140,Typical Speech,4,0.23750000000000002
5,140,Typical Speech,5,0.1662878787878788
6,140,Typical Speech,6,0.20325814536340855
7,140,Typical Speech,7,0.18352272727272728
8,140,Typical Speech,8,0.06862244897959183
9,140,Typical Speech,9,0.3090557139337627
0,141,Typical Speech,0,0.06606060606060608
1,141,Typical Speech,1,0.03560606060606061
2,141,Typical Speech,2,0.05166666666666667
3,141,Typical Speech,3,0.06541666666666665
4,141,Typical Speech,4,0.08701298701298701
5,141,Typical Speech,5,-0.014862914862914868
6,141,Typical Speech,6,0.13694444444444445
7,141,Typical Speech,7,0.15416666666666667
8,141,Typical Speech,8,0.13541666666666666
9,141,Typical Speech,9,0.1409313725490196
0,142,Typical Speech,0,-0.1
1,142,Typical Speech,1,0.23333333333333336
2,142,Typical Speech,2,0.0
3,142,Typical Speech,3,0.0
4,142,Typical Speech,4,0.16333333333333336
5,142,Typical Speech,5,-0.1954545454545455
6,142,Typical Speech,6,0.20606060606060606
7,142,Typical Speech,7,0.0
8,142,Typical Speech,8,0.13613053613053613
9,142,Typical Speech,9,-0.10795454545454544
0,143,Typical Speech,0,0.0
1,143,Typical Speech,1,0.0
2,143,Typical Speech,2,0.0
3,143,Typical Speech,3,0.0
4,143,Typical Speech,4,0.0
5,143,Typical Speech,5,0.0
6,143,Typical Speech,6,0.0
7,143,Typical Speech,7,0.0
8,143,Typical Speech,8,0.0
9,143,Typical Speech,9,0.45701530612244895
0,144,Typical Speech,0,0.52
1,144,Typical Speech,1,0.036782296650717694
2,144,Typical Speech,2,0.375
3,144,Typical Speech,3,0.3771428571428571
4,144,Typical Speech,4,0.3025641025641025
5,144,Typical Speech,5,0.01833333333333334
6,144,Typical Speech,6,0.15000000000000002
7,144,Typical Speech,7,0.1791666666666667
8,144,Typical Speech,8,0.42857142857142855
9,144,Typical Speech,9,0.15714285714285714
0,145,Typical Speech,0,0.3767857142857143
1,145,Typical Speech,1,0.23955627705627705
2,145,Typical Speech,2,0.18263941940412529
3,145,Typical Speech,3,0.0628968253968254
4,145,Typical Speech,4,0.21055194805194805
5,145,Typical Speech,5,-0.030555555555555558
6,145,Typical Speech,6,0.18257575757575759
7,145,Typical Speech,7,0.12148760330578513
8,145,Typical Speech,8,0.08821022727272727
9,145,Typical Speech,9,0.3342592592592593
0,146,Typical Speech,0,0.0
1,146,Typical Speech,1,0.0
2,146,Typical Speech,2,0.0
3,146,Typical Speech,3,0.0
4,146,Typical Speech,4,0.0
5,146,Typical Speech,5,0.0
6,146,Typical Speech,6,0.0
7,146,Typical Speech,7,0.0
8,146,Typical Speech,8,0.0
9,146,Typical Speech,9,0.009943977591036402
0,147,Typical Speech,0,0.04148193760262725
1,147,Typical Speech,1,0.11014173998044965
2,147,Typical Speech,2,0.1592261904761905
3,147,Typical Speech,3,0.10694444444444444
4,147,Typical Speech,4,0.06740103740103742
5,147,Typical Speech,5,0.09949494949494948
6,147,Typical Speech,6,0.05849731077003805
7,147,Typical Speech,7,-0.000850340136054421
8,147,Typical Speech,8,0.22500000000000003
9,147,Typical Speech,9,0.2225
0,148,Typical Speech,0,0.0
1,148,Typical Speech,1,0.15555555555555559
2,148,Typical Speech,2,0.16339285714285715
3,148,Typical Speech,3,0.3014204545454545
4,148,Typical Speech,4,-0.07794117647058825
5,148,Typical Speech,5,0.2875
6,148,Typical Speech,6,-0.09999999999999999
7,148,Typical Speech,7,0.15795454545454546
8,148,Typical Speech,8,-0.10740740740740741
9,148,Typical Speech,9,0.11159923409923413
0,149,Typical Speech,0,0.25113636363636366
1,149,Typical Speech,1,0.5083333333333333
2,149,Typical Speech,2,0.17681068931068927
3,149,Typical Speech,3,0.03473389355742296
4,149,Typical Speech,4,0.10974025974025972
5,149,Typical Speech,5,0.13766233766233768
6,149,Typical Speech,6,0.14840754483611626
7,149,Typical Speech,7,0.03930785123966942
8,149,Typical Speech,8,0.03174603174603176
9,149,Typical Speech,9,0.07438905180840664
0,150,Typical Speech,0,0.23793650793650797
1,150,Typical Speech,1,0.20225919913419912
2,150,Typical Speech,2,0.20301175015460726
3,150,Typical Speech,3,0.15408072319837024
4,150,Typical Speech,4,0.023571428571428577
5,150,Typical Speech,5,0.23253340862036512
6,150,Typical Speech,6,0.12676767676767678
7,150,Typical Speech,7,0.1898268398268398
8,150,Typical Speech,8,0.08151260504201681
9,150,Typical Speech,9,0.19043610710277376
0,151,Typical Speech,0,0.0
1,151,Typical Speech,1,0.0
2,151,Typical Speech,2,0.0
3,151,Typical Speech,3,0.0
4,151,Typical Speech,4,0.0
5,151,Typical Speech,5,0.0
6,151,Typical Speech,6,0.0
7,151,Typical Speech,7,0.0
8,151,Typical Speech,8,0.0
9,151,Typical Speech,9,0.13757215007215007
0,152,Typical Speech,0,0.5666666666666667
1,152,Typical Speech,1,0.0
2,152,Typical Speech,2,0.05000000000000002
3,152,Typical Speech,3,0.75
4,152,Typical Speech,4,0.0
5,152,Typical Speech,5,0.0
6,152,Typical Speech,6,0.0
7,152,Typical Speech,7,0.25416666666666665
8,152,Typical Speech,8,0.4681818181818182
9,152,Typical Speech,9,0.20702947845804986
0,153,Typical Speech,0,0.2966666666666667
1,153,Typical Speech,1,0.058325602968460115
2,153,Typical Speech,2,0.13333333333333333
3,153,Typical Speech,3,0.07961538461538462
4,153,Typical Speech,4,0.18709077380952382
5,153,Typical Speech,5,0.17556818181818182
6,153,Typical Speech,6,0.2572420634920635
7,153,Typical Speech,7,0.035
8,153,Typical Speech,8,-0.025
9,153,Typical Speech,9,0.0776839826839827
