,speech_number,type,position,sentiment_blob
8,21,Great Speech,8,-0.10194805194805197
9,21,Great Speech,9,0.05001418951418952
0,22,Great Speech,0,0.03333333333333334
1,22,Great Speech,1,0.20416666666666666
2,22,Great Speech,2,0.17499999999999996
3,22,Great Speech,3,0.08706140350877194
4,22,Great Speech,4,0.057387955182072826
5,22,Great Speech,5,-0.02631578947368421
6,22,Great Speech,6,0.03441358024691359
7,22,Great Speech,7,0.15311983471074378
8,22,Great Speech,8,0.17142857142857143
9,22,Great Speech,9,0.2256313131313131
0,23,Great Speech,0,0.15
1,23,Great Speech,1,0.04305555555555556
2,23,Great Speech,2,-0.05
3,23,Great Speech,3,0.27210884353741494
4,23,Great Speech,4,0.08333333333333333
5,23,Great Speech,5,0.4222222222222222
6,23,Great Speech,6,-0.0475378787878788
7,23,Great Speech,7,-0.24062499999999998
8,23,Great Speech,8,0.1051677489177489
9,23,Great Speech,9,0.014863147605083076
0,24,Great Speech,0,0.002083333333333326
1,24,Great Speech,1,0.16851851851851854
2,24,Great Speech,2,0.078125
3,24,Great Speech,3,0.153024453024453
4,24,Great Speech,4,0.003968253968253968
5,24,Great Speech,5,0.10977202145680406
6,24,Great Speech,6,0.2670995670995671
7,24,Great Speech,7,0.1226190476190476
8,24,Great Speech,8,0.03308270676691731
9,24,Great Speech,9,0.1488466295609153
0,25,Great Speech,0,0.00013492063492062667
1,25,Great Speech,1,0.07690452663278752
2,25,Great Speech,2,0.020634920634920634
3,25,Great Speech,3,-0.05926406926406926
4,25,Great Speech,4,0.04341013824884793
5,25,Great Speech,5,-0.06267942583732057
6,25,Great Speech,6,0.125891265597148
7,25,Great Speech,7,0.1443097643097643
8,25,Great Speech,8,0.06402831402831402
9,25,Great Speech,9,0.11943521594684388
0,26,Great Speech,0,0.1
1,26,Great Speech,1,0.06166666666666666
2,26,Great Speech,2,-0.1
3,26,Great Speech,3,0.09153873903873903
4,26,Great Speech,4,0.06666666666666667
5,26,Great Speech,5,0.013690476190476185
6,26,Great Speech,6,0.02777777777777778
7,26,Great Speech,7,0.0975
8,26,Great Speech,8,-0.07500000000000004
9,26,Great Speech,9,0.01578787878787879
0,27,Great Speech,0,0.08173285048285048
1,27,Great Speech,1,0.04322916666666667
2,27,Great Speech,2,0.035185185185185194
3,27,Great Speech,3,0.08482323232323231
4,27,Great Speech,4,0.06423611111111112
5,27,Great Speech,5,0.05447359810731903
6,27,Great Speech,6,-0.00714285714285715
7,27,Great Speech,7,-0.01311688311688311
8,27,Great Speech,8,0.18333333333333335
9,27,Great Speech,9,0.24
0,28,Great Speech,0,0.0
1,28,Great Speech,1,-1.0
2,28,Great Speech,2,0.575
3,28,Great Speech,3,0.5535714285714286
4,28,Great Speech,4,0.25416666666666665
5,28,Great Speech,5,-0.2851010101010101
6,28,Great Speech,6,0.4
7,28,Great Speech,7,0.5
8,28,Great Speech,8,0.8
9,28,Great Speech,9,0.13
0,29,Great Speech,0,0.10681818181818183
1,29,Great Speech,1,0.08571428571428572
2,29,Great Speech,2,0.16358585858585858
3,29,Great Speech,3,0.1545112781954887
4,29,Great Speech,4,0.14416666666666664
5,29,Great Speech,5,0.18460317460317463
6,29,Great Speech,6,0.06077922077922078
